,ctrl,stagei,stageii,stageiii,stageiv
0,HSA-MIR-192-5P,HSA-MIR-139-5P,HSA-MIR-1307-3P,HSA-MIR-183-5P,HSA-MIR-204-3P
1,HSA-MIR-194-5P,HSA-MIR-126-3P,HSA-MIR-151B,HSA-MIR-204-5P,HSA-MIR-204-5P
2,HSA-MIR-194-3P,HSA-MIR-145-3P,HSA-MIR-760,HSA-MIR-182-5P,HSA-MIR-126-3P
3,HSA-MIR-1251-5P,HSA-MIR-27A-5P,HSA-MIR-676-3P,HSA-MIR-96-5P,HSA-MIR-29C-5P
4,HSA-MIR-192-3P,HSA-MIR-145-5P,HSA-MIR-590-5P,HSA-MIR-204-3P,HSA-MIR-145-5P
5,HSA-MIR-155-5P,HSA-MIR-338-3P,HSA-MIR-139-5P,HSA-MIR-3170,HSA-MIR-145-3P
6,HSA-MIR-223-3P,HSA-LET-7C-3P,HSA-MIR-24-1-5P,HSA-MIR-190A-5P,HSA-MIR-296-3P
7,HSA-MIR-874-3P,HSA-MIR-181A-5P,HSA-MIR-451A,HSA-MIR-10B-5P,HSA-MIR-122-5P
8,HSA-MIR-182-5P,HSA-MIR-181A-3P,HSA-MIR-324-5P,HSA-MIR-139-5P,HSA-MIR-144-3P
9,HSA-MIR-3065-3P,HSA-LET-7B-5P,HSA-MIR-339-5P,HSA-MIR-181A-3P,HSA-MIR-451A
